Textbox36,TipoLC,citName,Textbox39,Textbox37,Textbox40,FechaCierre1,Textbox38,rbiDescription,rbiGoodAndService,Unidad_de_Medida,Cantidad,ProductoName,Level1,Level2,Level3
1002-26-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,MOP - Direccion de Vialidad,CUCHILLAS MOTONIVELADORA ,25/06/2019 16:08:28,10/07/2019 15:00:00,3,3,3,3,3,3,3,3,3
1020-21-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ministerio de Obras Publicas Direccion Gral. de OOPP,Servicio de Encuadernacion de Documentos Oficiales año 2017 para Oficina de Partes de la SOP,19/06/2019 17:53:00,09/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
1020-22-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,Ministerio de Obras Publicas Direccion Gral. de OOPP,Diseño y Construccion Transbordador Lago OHiggins,22/05/2019 11:58:00,29/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
1057532-40-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Servicio de Salud Osorno,"Construccion Camara Separadora de Combustibles, para Hospital Purranque",02/07/2019 19:23:44,19/07/2019 15:17:00,1,1,1,1,1,1,1,1,1
1057532-47-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Servicio de Salud Osorno,COMPRA SERVICIOS ANALISTA FUNCIONAL JUNIOR ,02/07/2019 17:13:01,09/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
1057532-48-B219,Licitacion Privada igual o superior a 1000 UTM e inferior a 2000 UTM,Region de los Lagos ,Servicio de Salud Osorno,"Convenio de Servicios de Mantencion Preventiva y/o Correctiva Para Flota de Ambulancias Marca Ford Dependientes del Servicio de Salud Osorno, Tercer Llamado",26/06/2019 15:06:36,10/07/2019 09:00:00,1,1,1,1,1,1,1,1,1
1057532-49-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Servicio de Salud Osorno,GARGANTILLAS DE RECONOCIMIENTO SSO,01/07/2019 12:51:52,10/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
1057534-24-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Hospital de Purranque,ARRIENDO  CAJAS  DE INSTRUMENTAL LAPAROSCOPIA,20/06/2019 18:09:00,03/07/2019 17:34:00,1,1,1,1,1,1,1,1,1
1057535-8-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Hospital de Mision San Juan de la Costa,COMPRA INSUMOS DENTALES,26/06/2019 10:35:45,04/07/2019 15:00:00,40,40,40,40,40,40,40,40,40
1057535-9-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Hospital de Mision San Juan de la Costa,COMPRA PASTILLEROS Y CINTA METRICA ANTROPOMETRICAS ,26/06/2019 14:56:58,04/07/2019 14:30:00,2,2,2,2,2,2,2,2,2
1057539-48-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Hospital de Puerto Montt,Adquisicion de accesorios para Pabellon central,02/07/2019 11:27:18,12/07/2019 15:00:00,5,5,5,5,5,5,5,5,5
